customer_id,name,email,phone,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,tech_support,online_security,churn
C10064,Customer 10064,customer10064@example.com,+91-9000010063,70,25.46,1914.6,Month-to-month,DSL,Mailed check,Yes,No,0
C10065,Customer 10065,customer10065@example.com,+91-9000010064,30,28.85,807.65,Month-to-month,Fiber optic,Mailed check,Yes,No,1
C10066,Customer 10066,customer10066@example.com,+91-9000010065,24,93.04,2410.65,Month-to-month,Fiber optic,Electronic check,Yes,No,1
C10067,Customer 10067,customer10067@example.com,+91-9000010066,66,81.27,5538.06,Month-to-month,Fiber optic,Credit card,Yes,No,0
C10068,Customer 10068,customer10068@example.com,+91-9000010067,27,27.65,757.63,Month-to-month,Fiber optic,Credit card,Yes,No,0
C10069,Customer 10069,customer10069@example.com,+91-9000010068,6,99.35,587.82,One year,Fiber optic,Credit card,No,Yes,0
C10070,Customer 10070,customer10070@example.com,+91-9000010069,34,110.21,3649.05,Two year,Fiber optic,Mailed check,Yes,No,0
C10071,Customer 10071,customer10071@example.com,+91-9000010070,58,74.64,4539.83,One year,DSL,Bank transfer,No,No,0
C10072,Customer 10072,customer10072@example.com,+91-9000010071,14,71.58,1026.88,One year,Fiber optic,Bank transfer,Yes,No,1
C10073,Customer 10073,customer10073@example.com,+91-9000010072,34,25.55,827.1,Month-to-month,No,Bank transfer,No,Yes,1
C10074,Customer 10074,customer10074@example.com,+91-9000010073,10,103.66,1054.83,Month-to-month,DSL,Credit card,No,No,1
C10075,Customer 10075,customer10075@example.com,+91-9000010074,50,58.07,2736.8,One year,Fiber optic,Credit card,Yes,Yes,0
C10076,Customer 10076,customer10076@example.com,+91-9000010075,35,112.88,3948.82,Month-to-month,DSL,Credit card,Yes,No,1
C10077,Customer 10077,customer10077@example.com,+91-9000010076,24,62.31,1515.41,Month-to-month,Fiber optic,Credit card,No,Yes,1
C10078,Customer 10078,customer10078@example.com,+91-9000010077,17,81.51,1415.75,Month-to-month,Fiber optic,Mailed check,Yes,No,0
C10079,Customer 10079,customer10079@example.com,+91-9000010078,41,52.03,2012.15,Two year,Fiber optic,Electronic check,No,No,0
C10080,Customer 10080,customer10080@example.com,+91-9000010079,49,41.06,1881.76,One year,DSL,Mailed check,No,Yes,0
C10081,Customer 10081,customer10081@example.com,+91-9000010080,68,102.49,6700.26,Month-to-month,Fiber optic,Electronic check,No,Yes,1
C10082,Customer 10082,customer10082@example.com,+91-9000010081,32,74.66,2430.03,One year,No,Bank transfer,No,Yes,0
C10083,Customer 10083,customer10083@example.com,+91-9000010082,12,78.65,1008.99,Month-to-month,Fiber optic,Electronic check,No,No,1
C10084,Customer 10084,customer10084@example.com,+91-9000010083,60,121.54,7618.08,Month-to-month,Fiber optic,Bank transfer,No,No,1
C10085,Customer 10085,customer10085@example.com,+91-9000010084,46,121.36,5802.03,Month-to-month,Fiber optic,Bank transfer,Yes,No,0
C10086,Customer 10086,customer10086@example.com,+91-9000010085,51,110.56,5485.4,Month-to-month,Fiber optic,Electronic check,Yes,No,0
C10087,Customer 10087,customer10087@example.com,+91-9000010086,8,43.76,328.33,One year,Fiber optic,Bank transfer,Yes,No,0
C10088,Customer 10088,customer10088@example.com,+91-9000010087,23,84.43,2063.67,Month-to-month,DSL,Credit card,No,Yes,1
C10089,Customer 10089,customer10089@example.com,+91-9000010088,56,112.81,6318.22,One year,DSL,Electronic check,No,No,0
C10090,Customer 10090,customer10090@example.com,+91-9000010089,60,62.45,3507.5,Month-to-month,Fiber optic,Credit card,Yes,No,0
C10091,Customer 10091,customer10091@example.com,+91-9000010090,32,35.11,1129.81,One year,No,Electronic check,No,Yes,1
C10092,Customer 10092,customer10092@example.com,+91-9000010091,58,106.1,6326.51,One year,No,Electronic check,Yes,No,1
C10093,Customer 10093,customer10093@example.com,+91-9000010092,61,73.18,4335.35,One year,No,Electronic check,Yes,No,0
C10094,Customer 10094,customer10094@example.com,+91-9000010093,28,81.44,2101.27,One year,Fiber optic,Bank transfer,Yes,No,0
C10095,Customer 10095,customer10095@example.com,+91-9000010094,65,123.21,8164.48,Two year,DSL,Credit card,No,No,1
C10096,Customer 10096,customer10096@example.com,+91-9000010095,21,85.72,1667.66,Month-to-month,Fiber optic,Bank transfer,No,Yes,1
C10097,Customer 10097,customer10097@example.com,+91-9000010096,18,67.5,1201.94,One year,No,Credit card,No,No,0
C10098,Customer 10098,customer10098@example.com,+91-9000010097,50,62.0,3261.09,One year,Fiber optic,Bank transfer,Yes,Yes,1
C10099,Customer 10099,customer10099@example.com,+91-9000010098,46,66.76,3316.07,Month-to-month,Fiber optic,Credit card,No,No,1
C10100,Customer 10100,customer10100@example.com,+91-9000010099,11,36.84,396.83,Month-to-month,Fiber optic,Mailed check,No,Yes,1
C10101,Customer 10101,customer10101@example.com,+91-9000010100,60,104.48,5787.48,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
C10102,Customer 10102,customer10102@example.com,+91-9000010101,15,108.77,1629.7,Month-to-month,No,Electronic check,No,No,1
C10103,Customer 10103,customer10103@example.com,+91-9000010102,58,53.44,2988.57,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
C10104,Customer 10104,customer10104@example.com,+91-9000010103,1,55.38,58.86,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,1
C10105,Customer 10105,customer10105@example.com,+91-9000010104,58,112.43,6741.61,One year,DSL,Bank transfer,No,Yes,0
C10106,Customer 10106,customer10106@example.com,+91-9000010105,57,27.4,1537.89,Month-to-month,Fiber optic,Electronic check,Yes,No,0
C10107,Customer 10107,customer10107@example.com,+91-9000010106,57,77.05,4575.98,Two year,DSL,Mailed check,No,No,0
C10108,Customer 10108,customer10108@example.com,+91-9000010107,48,71.37,3338.72,Month-to-month,No,Mailed check,No,Yes,0
C10109,Customer 10109,customer10109@example.com,+91-9000010108,34,94.01,3207.47,One year,Fiber optic,Electronic check,Yes,No,0
C10110,Customer 10110,customer10110@example.com,+91-9000010109,51,41.34,2250.96,Month-to-month,Fiber optic,Electronic check,Yes,No,0
C10111,Customer 10111,customer10111@example.com,+91-9000010110,20,91.83,1748.49,Month-to-month,DSL,Electronic check,No,No,1
C10112,Customer 10112,customer10112@example.com,+91-9000010111,57,62.67,3465.34,Month-to-month,Fiber optic,Bank transfer,No,No,1
C10113,Customer 10113,customer10113@example.com,+91-9000010112,41,86.87,3781.41,One year,Fiber optic,Credit card,No,No,0
C10114,Customer 10114,customer10114@example.com,+91-9000010113,34,29.01,980.32,Month-to-month,DSL,Bank transfer,Yes,No,1
C10115,Customer 10115,customer10115@example.com,+91-9000010114,37,71.17,2556.56,Two year,No,Electronic check,No,Yes,0
C10116,Customer 10116,customer10116@example.com,+91-9000010115,41,77.23,2932.01,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
C10117,Customer 10117,customer10117@example.com,+91-9000010116,3,46.43,137.48,One year,Fiber optic,Electronic check,Yes,No,1
C10118,Customer 10118,customer10118@example.com,+91-9000010117,11,38.96,428.6,Month-to-month,DSL,Bank transfer,No,No,0
C10119,Customer 10119,customer10119@example.com,+91-9000010118,18,43.85,777.47,One year,Fiber optic,Bank transfer,No,Yes,0
C10120,Customer 10120,customer10120@example.com,+91-9000010119,9,59.41,515.65,Month-to-month,Fiber optic,Bank transfer,No,No,1
C10121,Customer 10121,customer10121@example.com,+91-9000010120,32,34.68,1086.52,Month-to-month,No,Bank transfer,Yes,Yes,1
C10122,Customer 10122,customer10122@example.com,+91-9000010121,49,119.73,6000.48,Month-to-month,DSL,Credit card,No,No,0
C10123,Customer 10123,customer10123@example.com,+91-9000010122,48,65.5,3340.83,Month-to-month,No,Electronic check,Yes,No,0
C10124,Customer 10124,customer10124@example.com,+91-9000010123,34,105.9,3686.83,Month-to-month,Fiber optic,Credit card,No,No,1
C10125,Customer 10125,customer10125@example.com,+91-9000010124,62,122.44,7768.81,Two year,DSL,Electronic check,Yes,No,0
C10126,Customer 10126,customer10126@example.com,+91-9000010125,41,33.07,1424.61,Month-to-month,DSL,Electronic check,Yes,Yes,0
C10127,Customer 10127,customer10127@example.com,+91-9000010126,6,90.17,512.03,Month-to-month,DSL,Credit card,No,Yes,0
C10128,Customer 10128,customer10128@example.com,+91-9000010127,56,112.14,6079.99,Two year,No,Credit card,Yes,Yes,0
C10129,Customer 10129,customer10129@example.com,+91-9000010128,42,88.42,3446.61,Month-to-month,DSL,Electronic check,No,No,0
C10130,Customer 10130,customer10130@example.com,+91-9000010129,46,67.9,3048.26,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
C10131,Customer 10131,customer10131@example.com,+91-9000010130,41,68.11,3015.39,One year,Fiber optic,Credit card,No,No,1
C10132,Customer 10132,customer10132@example.com,+91-9000010131,40,28.59,1112.37,Two year,No,Mailed check,Yes,Yes,0
C10133,Customer 10133,customer10133@example.com,+91-9000010132,7,78.46,580.84,One year,Fiber optic,Bank transfer,No,No,1
C10134,Customer 10134,customer10134@example.com,+91-9000010133,41,124.35,4760.45,Month-to-month,Fiber optic,Electronic check,No,Yes,0
C10135,Customer 10135,customer10135@example.com,+91-9000010134,58,120.87,6965.27,Two year,DSL,Bank transfer,Yes,No,0
C10136,Customer 10136,customer10136@example.com,+91-9000010135,22,29.04,623.7,Month-to-month,No,Electronic check,Yes,No,1
C10137,Customer 10137,customer10137@example.com,+91-9000010136,44,95.58,4004.72,Two year,DSL,Electronic check,Yes,No,0
C10138,Customer 10138,customer10138@example.com,+91-9000010137,3,55.18,162.16,Two year,DSL,Bank transfer,No,No,0
C10139,Customer 10139,customer10139@example.com,+91-9000010138,26,115.3,3070.36,Two year,No,Credit card,Yes,No,1
C10140,Customer 10140,customer10140@example.com,+91-9000010139,32,29.51,942.86,Month-to-month,DSL,Electronic check,Yes,Yes,0
C10141,Customer 10141,customer10141@example.com,+91-9000010140,71,118.59,8883.77,Month-to-month,DSL,Credit card,Yes,No,1
C10142,Customer 10142,customer10142@example.com,+91-9000010141,16,108.75,1852.74,One year,Fiber optic,Credit card,No,No,0
C10143,Customer 10143,customer10143@example.com,+91-9000010142,20,36.75,732.87,Month-to-month,DSL,Credit card,No,No,0
C10144,Customer 10144,customer10144@example.com,+91-9000010143,30,30.98,1001.03,Month-to-month,DSL,Electronic check,No,No,0
C10145,Customer 10145,customer10145@example.com,+91-9000010144,72,108.47,7275.05,Two year,Fiber optic,Bank transfer,No,Yes,1
C10146,Customer 10146,customer10146@example.com,+91-9000010145,62,40.58,2425.92,One year,Fiber optic,Electronic check,No,No,0
C10147,Customer 10147,customer10147@example.com,+91-9000010146,3,78.49,232.33,Month-to-month,Fiber optic,Electronic check,No,Yes,1
C10148,Customer 10148,customer10148@example.com,+91-9000010147,17,116.57,2007.91,Month-to-month,DSL,Electronic check,No,Yes,1
C10149,Customer 10149,customer10149@example.com,+91-9000010148,60,81.74,4940.44,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
C10150,Customer 10150,customer10150@example.com,+91-9000010149,5,64.72,327.12,Month-to-month,Fiber optic,Electronic check,No,No,1
C10151,Customer 10151,customer10151@example.com,+91-9000010150,62,69.5,4582.19,Month-to-month,DSL,Electronic check,No,Yes,0
C10152,Customer 10152,customer10152@example.com,+91-9000010151,21,31.31,634.11,Two year,DSL,Mailed check,No,No,0
C10153,Customer 10153,customer10153@example.com,+91-9000010152,67,121.88,8579.95,One year,DSL,Credit card,Yes,No,0
C10154,Customer 10154,customer10154@example.com,+91-9000010153,22,56.07,1244.99,Month-to-month,Fiber optic,Electronic check,Yes,No,0
C10155,Customer 10155,customer10155@example.com,+91-9000010154,32,43.94,1403.94,Month-to-month,DSL,Mailed check,No,Yes,0
C10156,Customer 10156,customer10156@example.com,+91-9000010155,48,53.6,2490.23,One year,Fiber optic,Electronic check,No,No,0
C10157,Customer 10157,customer10157@example.com,+91-9000010156,10,121.44,1176.33,Two year,No,Bank transfer,No,No,0
C10158,Customer 10158,customer10158@example.com,+91-9000010157,41,34.43,1386.44,Two year,DSL,Credit card,No,No,0
C10159,Customer 10159,customer10159@example.com,+91-9000010158,37,111.73,4308.31,Month-to-month,Fiber optic,Bank transfer,No,No,1
C10160,Customer 10160,customer10160@example.com,+91-9000010159,57,95.78,5439.14,Two year,DSL,Electronic check,Yes,Yes,0
C10161,Customer 10161,customer10161@example.com,+91-9000010160,72,108.0,7345.31,Month-to-month,DSL,Electronic check,Yes,No,0
C10162,Customer 10162,customer10162@example.com,+91-9000010161,48,122.59,6128.98,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
C10163,Customer 10163,customer10163@example.com,+91-9000010162,30,109.22,3362.25,Two year,Fiber optic,Bank transfer,No,No,1
C10164,Customer 10164,customer10164@example.com,+91-9000010163,30,119.34,3837.54,Month-to-month,No,Bank transfer,No,Yes,1
C10165,Customer 10165,customer10165@example.com,+91-9000010164,31,37.69,1173.89,Month-to-month,Fiber optic,Bank transfer,No,No,0
C10166,Customer 10166,customer10166@example.com,+91-9000010165,59,104.58,6322.67,Month-to-month,DSL,Electronic check,No,No,0
C10167,Customer 10167,customer10167@example.com,+91-9000010166,24,79.57,1903.36,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
C10168,Customer 10168,customer10168@example.com,+91-9000010167,13,79.35,1061.39,Month-to-month,DSL,Electronic check,No,No,1
C10169,Customer 10169,customer10169@example.com,+91-9000010168,25,114.89,2842.89,One year,No,Credit card,No,Yes,0
C10170,Customer 10170,customer10170@example.com,+91-9000010169,2,122.18,230.2,Month-to-month,Fiber optic,Credit card,No,No,1
C10171,Customer 10171,customer10171@example.com,+91-9000010170,8,95.48,823.32,Month-to-month,DSL,Bank transfer,No,No,0
C10172,Customer 10172,customer10172@example.com,+91-9000010171,7,73.29,531.12,Two year,Fiber optic,Credit card,Yes,No,1
C10173,Customer 10173,customer10173@example.com,+91-9000010172,56,70.64,4024.59,Month-to-month,Fiber optic,Electronic check,No,No,1
C10174,Customer 10174,customer10174@example.com,+91-9000010173,53,63.63,3362.36,Two year,Fiber optic,Electronic check,Yes,No,1
C10175,Customer 10175,customer10175@example.com,+91-9000010174,51,61.16,3224.68,Month-to-month,DSL,Bank transfer,Yes,No,0
C10176,Customer 10176,customer10176@example.com,+91-9000010175,34,64.15,2050.85,One year,DSL,Bank transfer,No,No,0
C10177,Customer 10177,customer10177@example.com,+91-9000010176,52,33.98,1717.8,Month-to-month,DSL,Credit card,No,Yes,0
C10178,Customer 10178,customer10178@example.com,+91-9000010177,12,32.74,369.29,Two year,Fiber optic,Mailed check,Yes,Yes,0
C10179,Customer 10179,customer10179@example.com,+91-9000010178,65,102.99,6293.79,Month-to-month,Fiber optic,Electronic check,Yes,No,1
C10180,Customer 10180,customer10180@example.com,+91-9000010179,37,69.61,2378.32,Two year,DSL,Electronic check,No,No,0
C10181,Customer 10181,customer10181@example.com,+91-9000010180,68,118.07,8357.48,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
C10182,Customer 10182,customer10182@example.com,+91-9000010181,11,86.22,907.04,One year,Fiber optic,Electronic check,Yes,No,1
C10183,Customer 10183,customer10183@example.com,+91-9000010182,36,28.52,1081.26,Month-to-month,DSL,Electronic check,No,No,1
C10184,Customer 10184,customer10184@example.com,+91-9000010183,51,40.75,2212.73,Month-to-month,No,Mailed check,No,No,0
C10185,Customer 10185,customer10185@example.com,+91-9000010184,36,45.58,1553.87,Month-to-month,Fiber optic,Credit card,No,No,0
C10186,Customer 10186,customer10186@example.com,+91-9000010185,33,122.57,4179.98,Month-to-month,Fiber optic,Mailed check,No,No,0
C10187,Customer 10187,customer10187@example.com,+91-9000010186,12,46.87,558.87,Month-to-month,Fiber optic,Electronic check,Yes,No,1
C10188,Customer 10188,customer10188@example.com,+91-9000010187,28,76.58,2287.98,One year,DSL,Electronic check,Yes,Yes,0
C10189,Customer 10189,customer10189@example.com,+91-9000010188,18,118.62,2129.84,Month-to-month,No,Bank transfer,No,No,1
C10190,Customer 10190,customer10190@example.com,+91-9000010189,22,122.72,2647.52,Month-to-month,Fiber optic,Mailed check,No,No,1
C10191,Customer 10191,customer10191@example.com,+91-9000010190,50,48.64,2352.06,Month-to-month,Fiber optic,Electronic check,Yes,No,0
C10192,Customer 10192,customer10192@example.com,+91-9000010191,46,29.91,1464.71,Month-to-month,No,Electronic check,Yes,Yes,0
C10193,Customer 10193,customer10193@example.com,+91-9000010192,44,40.36,1698.04,Month-to-month,Fiber optic,Electronic check,Yes,No,1
C10194,Customer 10194,customer10194@example.com,+91-9000010193,27,31.33,890.26,One year,Fiber optic,Credit card,Yes,Yes,1
C10195,Customer 10195,customer10195@example.com,+91-9000010194,70,44.51,2963.25,Month-to-month,DSL,Credit card,Yes,Yes,0
C10196,Customer 10196,customer10196@example.com,+91-9000010195,7,81.86,586.17,Two year,DSL,Credit card,Yes,No,0
C10197,Customer 10197,customer10197@example.com,+91-9000010196,25,116.24,2883.25,Month-to-month,Fiber optic,Electronic check,No,No,1
C10198,Customer 10198,customer10198@example.com,+91-9000010197,9,78.72,663.66,Month-to-month,Fiber optic,Credit card,Yes,Yes,1
C10199,Customer 10199,customer10199@example.com,+91-9000010198,25,87.6,2058.93,Two year,Fiber optic,Bank transfer,No,No,1
C10200,Customer 10200,customer10200@example.com,+91-9000010199,70,45.19,3052.72,Month-to-month,Fiber optic,Electronic check,No,No,1
C10201,Customer 10201,customer10201@example.com,+91-9000010200,27,105.06,2957.64,Month-to-month,DSL,Electronic check,No,No,1
C10202,Customer 10202,customer10202@example.com,+91-9000010201,66,86.78,5937.28,Two year,DSL,Bank transfer,No,No,0
C10203,Customer 10203,customer10203@example.com,+91-9000010202,36,111.41,3821.53,Two year,Fiber optic,Electronic check,No,No,1
C10204,Customer 10204,customer10204@example.com,+91-9000010203,51,119.88,6090.6,One year,DSL,Mailed check,Yes,No,0
C10205,Customer 10205,customer10205@example.com,+91-9000010204,33,59.79,1845.84,Month-to-month,Fiber optic,Bank transfer,No,No,1
C10206,Customer 10206,customer10206@example.com,+91-9000010205,20,34.06,704.74,One year,Fiber optic,Electronic check,Yes,No,0
C10207,Customer 10207,customer10207@example.com,+91-9000010206,56,47.59,2790.11,Two year,Fiber optic,Credit card,Yes,Yes,0
C10208,Customer 10208,customer10208@example.com,+91-9000010207,70,68.78,5117.74,Two year,Fiber optic,Bank transfer,Yes,Yes,0
C10209,Customer 10209,customer10209@example.com,+91-9000010208,19,119.57,2412.05,Month-to-month,Fiber optic,Electronic check,No,No,0
C10210,Customer 10210,customer10210@example.com,+91-9000010209,57,62.83,3488.42,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
C10211,Customer 10211,customer10211@example.com,+91-9000010210,19,102.08,1863.35,Month-to-month,DSL,Electronic check,No,No,0
C10212,Customer 10212,customer10212@example.com,+91-9000010211,52,79.05,4371.44,Month-to-month,Fiber optic,Electronic check,No,Yes,1
C10213,Customer 10213,customer10213@example.com,+91-9000010212,57,43.28,2327.23,One year,Fiber optic,Credit card,No,No,0
C10214,Customer 10214,customer10214@example.com,+91-9000010213,33,57.07,1750.53,Month-to-month,DSL,Bank transfer,Yes,No,0
C10215,Customer 10215,customer10215@example.com,+91-9000010214,54,90.32,4732.32,Month-to-month,Fiber optic,Electronic check,No,No,1
C10216,Customer 10216,customer10216@example.com,+91-9000010215,20,92.29,1922.67,Month-to-month,No,Electronic check,No,No,1
C10217,Customer 10217,customer10217@example.com,+91-9000010216,6,68.48,423.65,Month-to-month,DSL,Bank transfer,No,No,1
C10218,Customer 10218,customer10218@example.com,+91-9000010217,7,47.86,361.13,Month-to-month,Fiber optic,Electronic check,No,No,1
C10219,Customer 10219,customer10219@example.com,+91-9000010218,33,97.19,3135.19,Month-to-month,No,Mailed check,No,Yes,0
C10220,Customer 10220,customer10220@example.com,+91-9000010219,65,41.89,2625.2,Month-to-month,No,Bank transfer,No,No,0
